,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file_name,utm_hemisphere,utm_zone,area_utm_easting_meters,area_utm_northing_meters,context_number,find_number,shape_description,inclusion_size,inclusion_colors,inclusion_types,porosity,exterior_surface,interior_surface,exterior_decoration,wall_thickness,manufacture,burning,fabric_group_name,encrustation,deterioration,fabric_group_examplar,volume_millimeter_cubed,weight_grams,xrf_group,type_group,xmin
348,348,348,348,348,348,348,478130_4419430_3_88,N,38,478130,4419430,3,88,,medium,black and white,sand,medium,rough,smoothed,,medium,,,reddish medium,,large exterior,0,,,,,85915
349,349,349,349,349,349,349,478130_4419430_3_89,N,38,478130,4419430,3,89,,medium,black and white,sand,medium,smoothed,rough,,thick,wheelmade,,brown dark medium-1,,large inerior,0,,,,,14789
350,350,350,350,350,350,350,478130_4419430_3_90,N,38,478130,4419430,3,90,,medium,white and grey,sand,medium,slipped,rough,,medium,wheelmade,,yellowish brown medium,,partial interior,0,,,,,16083
351,351,351,351,351,351,351,478130_4419430_3_91,N,38,478130,4419430,3,91,,medium,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,,yellowish brown medium,,,0,,,,,25641
352,352,352,352,352,352,352,478130_4419430_3_92,N,38,478130,4419430,3,92,,small,black and white,sand,medium,slipped,smoothed,,medium,wheelmade,,reddish fine,,,0,,,,,38012
353,353,353,353,353,353,353,478130_4419430_3_93,N,38,478130,4419430,3,93,,small,white,sand,low,smoothed,smoothed,,medium,wheelmade,,reddish yellow medium,,,0,,,,,15649
354,354,354,354,354,354,354,478130_4419430_3_94,N,38,478130,4419430,3,94,,medium,black and white,sand,medium,smoothed,,,medium,wheelmade,,yellowish brown medium,,,0,,,,,13792
355,355,355,355,355,355,355,478130_4419430_3_95,N,38,478130,4419430,3,95,,medium,black and white,sand,medium,smoothed,smoothed,,thick,wheelmade,,yellowish brown medium,partial exterior,,0,,,,,13567
356,356,356,356,356,356,356,478130_4419430_3_96,N,38,478130,4419430,3,96,,medium,black,sand,medium,slipped,smoothed,,medium,wheelmade,,reddish medium-2,small,,0,,,,,73547
357,357,357,357,357,357,357,478130_4419430_3_97,N,38,478130,4419430,3,97,,medium,black and white,sand,medium,slipped with striations,smoothed,,medium,wheelmade,exterior,reddish medium-2,,,0,,,,,73549
358,358,358,358,358,358,358,478130_4419430_3_98,N,38,478130,4419430,3,98,,medium,black and gray,sand,medium,slipped,smoothed,,medium,wheelmade,small exterior,yellowish brown medium,,,0,,,,,13798
359,359,359,359,359,359,359,478130_4419430_3_99,N,38,478130,4419430,3,99,,medium,black and white,sand,medium,rough,striations,,medium,wheelmade,,yellowish brown medium,,small exterior,0,,,,,73653
360,360,360,360,360,360,360,478130_4419430_3_100,N,38,478130,4419430,3,100,jar body curve,medium,black and white,sand,medium,smoothed,,,7mm,wheelmade,small exterior,yellow brown coarse-1,,,1,5523.3125,8.2,,red smoothed jar,17288
361,361,361,361,361,361,361,478130_4419430_3_101,N,38,478130,4419430,3,101,,medium,black red and white,sand,medium,slipped,rough,,thick,wheelmade,,brown light medium-2,,,0,,,,,15874
362,362,362,362,362,362,362,478130_4419430_3_102,N,38,478130,4419430,3,102,,medium,black and white,sand,high,rough,striations,,medium,wheelmade,,brown light medium-2,,small exterior,0,,,,,15876
363,363,363,363,363,363,363,478130_4419430_3_103,N,38,478130,4419430,3,103,,medium,black and white,sand,medium,rough,rough,,medium,wheelmade,,reddish brown dark medium-2,small,small exterior,0,,,,,87432
364,364,364,364,364,364,364,478130_4419430_3_104,N,38,478130,4419430,3,104,jar body curve,medium,black red and white,sand,medium,smoothed,striations,,9mm,wheelmade,interior,reddish brown medium-1,,,0,17267.3535,29.2,high sr/sm,red smoothed jar,73625
365,365,365,365,365,365,365,478130_4419430_3_105,N,38,478130,4419430,3,105,,coarse,black and gray,sand,high,smoothed,porous,,medium,wheelmade,,yellow brown coarse-1,,,0,,,,,15498
366,366,366,366,366,366,366,478130_4419430_3_106,N,38,478130,4419430,3,106,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,,reddish yellow medium,,,0,,,,,15637
367,367,367,367,367,367,367,478130_4419430_3_107,N,38,478130,4419430,3,107,,medium,black and white,sand,medium,smoothed,,,medium,wheelmade,,reddish brown medium-2,,small exterior,0,,,,,87434
368,368,368,368,368,368,368,478130_4419430_3_108,N,38,478130,4419430,3,108,,medium,black and white,sand,medium,slipped,striations,,medium,wheelmade,,yellowish brown medium,,,0,,,,,13722
369,369,369,369,369,369,369,478130_4419430_3_109,N,38,478130,4419430,3,109,,medium,black and white,sand,medium,slipped,rough,groove lines,medium,wheelmade,,brown light medium-1,,,0,,,,,15898
370,370,370,370,370,370,370,478130_4419430_3_110,N,38,478130,4419430,3,110,,coarse,black and white,sand,medium,slipped,,,thick,wheelmade,,reddish brown medium-1,small,partial exterior,0,,,,,87436
371,371,371,371,371,371,371,478130_4419430_3_111,N,38,478130,4419430,3,111,,coarse,"black, white and grey",sand,high,slipped,rough,,medium,handmade,,reddish coarse,,,0,,,,,15486
372,372,372,372,372,372,372,478130_4419430_3_112,N,38,478130,4419430,3,112,,coarse,black,sand,medium,smoothed with striations,rough,,medium,wheelmade,,yellow brown coarse-1,,,0,,,,,13921
373,373,373,373,373,373,373,478130_4419430_3_113,N,38,478130,4419430,3,113,,medium,black,sand,medium,slipped,striations,,thin,wheelmade,,reddish yellow medium,,,0,,,,,13764
374,374,374,374,374,374,374,478130_4419430_3_114,N,38,478130,4419430,3,114,,small,black and white,sand,low,slipped,smoothed,,medium,wheelmade,,reddish light medium,small,,0,,,,,15605
375,375,375,375,375,375,375,478130_4419430_3_115,N,38,478130,4419430,3,115,jar carination,medium,black,sand,medium,smoothed,rough,,6.5mm,wheelmade,exterior,reddish dark brown medium-1,,,1,6226.8296,12.0,,BA smoothed/burnished,73491
376,376,376,376,376,376,376,478130_4419430_3_116,N,38,478130,4419430,3,116,,medium,black and white,sand,medium,slipped,rough,,medium,wheelmade,,reddish yellow medium,,,0,,,,,13770
377,377,377,377,377,377,377,478130_4419430_3_117,N,38,478130,4419430,3,117,,medium,black and white,sand,medium,slipped,smoothed,,thick,wheelmade,,reddish dark brown medium-1,,,0,,,,,73493
378,378,378,378,378,378,378,478130_4419430_3_118,N,38,478130,4419430,3,118,,small,black,sand,low,slipped,smoothed,,medium,wheelmade,small exterior,brown fine,small,,0,,,,,15325
379,379,379,379,379,379,379,478130_4419430_3_119,N,38,478130,4419430,3,119,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,small exterior,reddish brown medium-2,,,0,,,,,16051
380,380,380,380,380,380,380,478130_4419430_3_120,N,38,478130,4419430,3,120,pithos body,coarse,black and red,sand,high,smoothed,rough,,13mm,wheelmade,small exterior,orange coarse,,partial interior,1,30713.6348,56.2,,red smoothed jar,17252
381,381,381,381,381,381,381,478130_4419430_3_121,N,38,478130,4419430,3,121,,medium,"black, white and grey",sand,medium,slipped,rough,,thick,wheelmade,,brown medium-2,,partial interior,0,,,,,15977
382,382,382,382,382,382,382,478130_4419430_3_122,N,38,478130,4419430,3,122,,medium,white,sand,,smoothed,smoothed,impressed,,wheelmade,small exterior,grey fine,,,0,,,,,15161
383,383,383,383,383,383,383,478130_4419430_3_123,N,38,478130,4419430,3,123,,medium,black and gray,sand,medium,smoothed,smoothed,incised lines,medium,wheelmade,small exterior,brown dark medium-3,,,0,,,,,15416
384,384,384,384,384,384,384,478130_4419430_3_124,N,38,478130,4419430,3,124,,medium,white and grey,sand,medium,smoothed,rough,,thin,wheelmade,small both sides,reddish brown dark medium,,,0,,,,,87438
385,385,385,385,385,385,385,478130_4419430_3_125,N,38,478130,4419430,3,125,,small,black,sand,low,rough,rough,,thick,wheelmade,interior,grey dark medium,small,partial exterior,0,,,,,83290
386,386,386,386,386,386,386,478130_4419430_3_126,N,38,478130,4419430,3,126,,coarse,black and white,sand,medium,striations,rough,,medium,wheelmade,both sides,grey dark medium,,,1,,,,,83296
387,387,387,387,387,387,387,478130_4419430_3_127,N,38,478130,4419430,3,127,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,small exterior,brown dark coarse-2,,,0,,,,,15812
388,388,388,388,388,388,388,478130_4419430_3_128,N,38,478130,4419430,3,128,jar body curve,medium,black and white,sand,medium,burnished,smoothed,,8mm,wheelmade,small both sides,brown medium-1,,,1,4110.0938,8.3,outlier3,BA smoothed/burnished,17218
389,389,389,389,389,389,389,478130_4419430_3_129,N,38,478130,4419430,3,129,jar body curve,medium,black and red,sand,medium,slipped,rough,groove lines,8mm,wheelmade,,reddish medium-2,,,1,2191.8735,4.0,,slipped late,73563
390,390,390,390,390,390,390,478130_4419430_3_130,N,38,478130,4419430,3,130,,medium,black red and white,sand,medium,slipped,smoothed,,medium,wheelmade,,reddish light medium-2,small interior,,0,,,,,87440
391,391,391,391,391,391,391,478130_4419430_3_131,N,38,478130,4419430,3,131,,medium,black and red,sand,medium,smoothed,smoothed,incised lines,thick,wheelmade,small interior,brown dark medium-3,,,0,,,,,14837
392,392,392,392,392,392,392,478130_4419430_3_132,N,38,478130,4419430,3,132,,medium,white and grey,sand,medium,smoothed and deteriorated,smoothed,,medium,wheelmade,,brown medium-1,,,0,,,,,16001
393,393,393,393,393,393,393,478130_4419430_3_133,N,38,478130,4419430,3,133,,medium,black and white,sand,medium,smoothed and deteriorated,smoothed,,medium,wheelmade,exterior,brown light medium-2,,,0,,,,,15878
394,394,394,394,394,394,394,478130_4419430_3_134,N,38,478130,4419430,3,134,,coarse,red and grey,sand,high,rough,striations,,medium,wheelmade,both sides,grey dark medium,,,0,,,,,87512
395,395,395,395,395,395,395,478130_4419430_3_135,N,38,478130,4419430,3,135,,medium,black,sand,medium,,smoothed and cracked,,thick,wheelmade,exterior,reddish brown medium-1,,,0,,,,,87442
396,396,396,396,396,396,396,478130_4419430_3_136,N,38,478130,4419430,3,136,,medium,black and white,sand,medium,smoothed,,,thick,wheelmade,small interior,brown dark medium-1,,,1,,,,,14829
397,397,397,397,397,397,397,478130_4419430_3_137,N,38,478130,4419430,3,137,,medium,black and white,sand,low,rough,rough,,medium,wheelmade,,grey dark medium-1,small,partial exterior,0,,,,,87444
398,398,398,398,398,398,398,478130_4419430_3_138,N,38,478130,4419430,3,138,,small,grey,sand,low,rough,striations,,medium,wheelmade,small exterior,grey fine,small exterior,partial exterior,0,,,,,15165
399,399,399,399,399,399,399,478130_4419430_3_139,N,38,478130,4419430,3,139,,coarse,black and white,sand,medium,smoothed,rough,,thick,wheelmade,,reddish brown coarse,,,0,,,,,87446
400,400,400,400,400,400,400,478130_4419430_3_140,N,38,478130,4419430,3,140,,coarse,red and grey,sand,medium,smoothed,rough,,thin,wheelmade,exterior,reddish brown dark coarse-1,,,1,,,,,87448
401,401,401,401,401,401,401,478130_4419430_3_141,N,38,478130,4419430,3,141,,coarse,black and white,sand,medium,smoothed with striations,rough,incised lines,medium,handmade,both sides,brown dark medium-1,,,0,,,,,15727
402,402,402,402,402,402,402,478130_4419430_3_142,N,38,478130,4419430,3,142,,coarse,black,sand,medium,smoothed,rough,,medium,wheelmade,exterior,grey coarse-1,,,1,,,,,87450
403,403,403,403,403,403,403,478130_4419430_3_143,N,38,478130,4419430,3,143,,medium,black red and white,sand,medium,smoothed,,impressed,medium,wheelmade,,yellowish brown medium,large interior,,0,,,,,25631
404,404,404,404,404,404,404,478130_4419430_3_144,N,38,478130,4419430,3,144,,small,black red and white,sand,medium,smoothed,smoothed,,thin,wheelmade,small exterior,yellowish brown medium,,,0,,,,,25635
405,405,405,405,405,405,405,478130_4419430_3_145,N,38,478130,4419430,3,145,,medium,red and white,sand,medium,burnished and cracked,rough,,medium,wheelmade,small exterior,reddish medium-1,,,0,,,,,13941
406,406,406,406,406,406,406,478130_4419430_3_146,N,38,478130,4419430,3,146,,small,black and white,sand,medium,,rough,,medium,wheelmade,exterior,brown dark medium-1,large interior,,1,,,,,83298
407,407,407,407,407,407,407,478130_4419430_3_147,N,38,478130,4419430,3,147,,small,white and grey,sand,low,smoothed,striations,incised lines,thin,wheelmade,both sides,black medium,small exterior,,0,,,,,15147
408,408,408,408,408,408,408,478130_4419430_3_148,N,38,478130,4419430,3,148,,small,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,exterior,brown light medium-2,,,0,,,,,15880
409,409,409,409,409,409,409,478130_4419430_3_149,N,38,478130,4419430,3,149,,medium,black and white,sand,medium,smoothed,striations,,thin,wheelmade,small exterior,reddish brown medium-1,small exterior,,0,,,,,16085
410,410,410,410,410,410,410,478130_4419430_3_150,N,38,478130,4419430,3,150,,medium,white and grey,sand,medium,slipped,smoothed,,medium,wheelmade,interior,brown dark medium-1,,,0,,,,,14765
411,411,411,411,411,411,411,478130_4419430_3_151,N,38,478130,4419430,3,151,,medium,black and white,sand,medium,smoothed,rough,,thick,wheelmade,,brown medium-2,small exterior,large interior and exterior,1,,,,,86977
412,412,412,412,412,412,412,478130_4419430_3_152,N,38,478130,4419430,3,152,,medium,black and white,sand,medium,striations,,,thick,wheelmade,interior,yellowish brown medium,,,0,,,,,15703
413,413,413,413,413,413,413,478130_4419430_3_153,N,38,478130,4419430,3,153,,coarse,red and grey,sand,medium,smoothed,rough,,medium,handmade,exterior,reddish brown dark coarse-1,,,0,,,,,87504
414,414,414,414,414,414,414,478130_4419430_3_154,N,38,478130,4419430,3,154,,medium,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,exterior,brown light medium-1,small interior,,0,,,,,15896
415,415,415,415,415,415,415,478130_4419430_3_155,N,38,478130,4419430,3,155,,small,white and grey,sand and organic,medium,smoothed,rough,,medium,wheelmade,small exterior,brown dark medium-1,,small interior,0,,,,,15374
416,416,416,416,416,416,416,478130_4419430_3_156,N,38,478130,4419430,3,156,,small,black and white,sand,low,smoothed,striations,,medium,wheelmade,both sides,grey dark fine,,,0,,,,,15750
417,417,417,417,417,417,417,478130_4419430_3_157,N,38,478130,4419430,3,157,,,black and white,sand,low,smoothed,striations,,medium,wheelmade,small exterior,brown dark medium-3,small exterior,,0,,,,,15239
418,418,418,418,418,418,418,478130_4419430_3_158,N,38,478130,4419430,3,158,,medium,black and white,sand,medium,rough,rough,,thick,wheelmade,small exterior,brown light medium-2,,,0,,,,,15882
419,419,419,419,419,419,419,478130_4419430_3_159,N,38,478130,4419430,3,159,,small,white,sand,medium,smoothed,striations,,medium,wheelmade,interior,grey fine,,,0,,,,,15175
420,420,420,420,420,420,420,478130_4419430_3_160,N,38,478130,4419430,3,160,,medium,black and white,sand,medium,smoothed and deteriorated,smoothed,,thick,wheelmade,small exterior,brown medium-1,small,,0,,,,,15997
421,421,421,421,421,421,421,478130_4419430_3_161,N,38,478130,4419430,3,161,,coarse,black and white,sand,medium,rough,rough,,medium,wheelmade,,brown dark medium-2,large exterior,parital interior and exterior,0,,,,,14421
422,422,422,422,422,422,422,478130_4419430_3_162,N,38,478130,4419430,3,162,,,,,low,smoothed,smoothed,impressed,thick,wheelmade,,creamy fine,small,,0,,,,,15665
423,423,423,423,423,423,423,478130_4419430_3_163,N,38,478130,4419430,3,163,,medium,white and grey,sand,medium,rough,smoothed,,thick,handmade,exterior,reddish brown medium-1,,partial exterior,0,,,,,87452
424,424,424,424,424,424,424,478130_4419430_3_164,N,38,478130,4419430,3,164,,small,white,sand,low,striations,smoothed and deteriorated,,thick,wheelmade,both sides,brown medium-1,large,,0,,,,,15995
425,425,425,425,425,425,425,478130_4419430_3_165,N,38,478130,4419430,3,165,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,,brown dark medium-3,,,0,,,,,14839
426,426,426,426,426,426,426,478130_4419430_3_166,N,38,478130,4419430,3,166,,small,black,sand,low,smoothed,smoothed,,thin,wheelmade,exterior,brown light medium-1,small,,0,,,,,15892
427,427,427,427,427,427,427,478130_4419430_3_167,N,38,478130,4419430,3,167,,small,red and grey,sand,low,smoothed,,,medium,wheelmade,both sides,black fine,,,0,,,,,15705
428,428,428,428,428,428,428,478130_4419430_3_168,N,38,478130,4419430,3,168,,small,black,sand,low,smoothed,rough,,thick,wheelmade,small exterior,yellowish brown medium-1,small,,0,,,,,87466
429,429,429,429,429,429,429,478130_4419430_3_169,N,38,478130,4419430,3,169,,coarse,black and white,sand,medium,smoothed,smoothed,,medium,handmade,,brown dark medium-1,small interior,,0,,,,,14441
430,430,430,430,430,430,430,478130_4419430_3_170,N,38,478130,4419430,3,170,,medium,black,sand,medium,striations,smoothed and cracked,,thin,wheelmade,small exterior,creamy medium,,,0,,,,,15048
431,431,431,431,431,431,431,478130_4419430_3_171,N,38,478130,4419430,3,171,,medium,black,sand,medium,striations,rough,incised lines,medium,wheelmade,exterior,black medium,,,0,,,,,15352
432,432,432,432,432,432,432,478130_4419430_3_172,N,38,478130,4419430,3,172,,medium,black and gray,sand,medium,rough,striations,,thick,wheelmade,exterior,brown fine,,,0,,,,,14166
433,433,433,433,433,433,433,478130_4419430_3_173,N,38,478130,4419430,3,173,,medium,black and white,sand,medium,slipped with striations,rough,,medium,wheelmade,,brown dark medium-1,,,0,,,,,14791
434,434,434,434,434,434,434,478130_4419430_3_174,N,38,478130,4419430,3,174,,medium,black,sand,medium,smoothed,rough,incised lines,medium,wheelmade,interior,grey medium,,,0,,,,,87468
435,435,435,435,435,435,435,478130_4419430_3_175,N,38,478130,4419430,3,175,,coarse,white,sand,medium,smoothed with striations,smoothed,,medium,wheelmade,interior,brown dark medium-3,,,0,,,,,15422
436,436,436,436,436,436,436,478130_4419430_3_176,N,38,478130,4419430,3,176,,medium,"black, white and grey",sand,medium,smoothed,smoothed,,thick,wheelmade,,brown light medium-2,small exterior,,0,,,,,15884
437,437,437,437,437,437,437,478130_4419430_3_177,N,38,478130,4419430,3,177,,medium,black,,medium,smoothed with striations,smoothed,,medium,wheelmade,exterior,brown dark fine,,,0,,,,,14847
438,438,438,438,438,438,438,478130_4419430_3_178,N,38,478130,4419430,3,178,,small,black and gray,sand,medium,smoothed,rough,,medium,wheelmade,interior,reddish brown dark medium,,,0,,,,,87502
439,439,439,439,439,439,439,478130_4419430_3_179,N,38,478130,4419430,3,179,,small,black,sand,medium,smoothed,smoothed,,thick,wheelmade,,brown dark fine,small interior,,0,,,,,87510
440,440,440,440,440,440,440,478130_4419430_3_180,N,38,478130,4419430,3,180,,small,black and white,sand,medium,rough,smoothed,,thick,handmade,small interior,brown dark medium-1,,partial exterior,0,,,,,14793
441,441,441,441,441,441,441,478130_4419430_3_181,N,38,478130,4419430,3,181,,medium,black and white,sand,medium,smoothed and deteriorated,smoothed,,medium,wheelmade,,brown light medium-1,partial,,1,,,,,15890
442,442,442,442,442,442,442,478130_4419430_3_182,N,38,478130,4419430,3,182,jar body curve,coarse,"black, white and grey",sand,medium,burnished,rough,,7.5mm,wheelmade,exterior,grey coarse,,large interior,1,4109.6626,7.4,,BA smoothed/burnished,17254
443,443,443,443,443,443,443,478130_4419430_3_183,N,38,478130,4419430,3,183,,coarse,black red and white,sand,medium,smoothed and deteriorated,rough,,medium,wheelmade,,reddish yellow coarse,,,0,,,,,14118
444,444,444,444,444,444,444,478130_4419430_3_184,N,38,478130,4419430,3,184,,coarse,black and red,sand,low,smoothed,smoothed,,thick,wheelmade,,reddish medium-2,,,0,,,,,73571
445,445,445,445,445,445,445,478130_4419430_3_185,N,38,478130,4419430,3,185,,medium,white,sand,low,smoothed,striations,,thick,wheelmade,,grey fine,partial interior,,0,,,,,87508
446,446,446,446,446,446,446,478130_4419430_3_186,N,38,478130,4419430,3,186,,coarse,black and white,sand,medium,smoothed,rough,,medium,wheelmade,small exterior,brown light coarse-2,,,0,,,,,15181
447,447,447,447,447,447,447,478130_4419430_3_187,N,38,478130,4419430,3,187,,medium,black,sand,low,smoothed with striations,rough,,thin,wheelmade,exterior,brown medium-2,,,0,,,,,87500
448,448,448,448,448,448,448,478130_4419430_3_188,N,38,478130,4419430,3,188,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,small exterior,brown dark medium-1,,,0,,,,,15376
449,449,449,449,449,449,449,478130_4419430_3_189,N,38,478130,4419430,3,189,,medium,"black, white and grey",sand,medium,smoothed and deteriorated,rough,,medium,wheelmade,,brown dark medium-1,,,0,,,,,15378
450,450,450,450,450,450,450,478130_4419430_3_190,N,38,478130,4419430,3,190,,medium,black and white,sand,medium,rough,rough,,medium,wheelmade,,grey medium,,large interior and exterior,0,,,,,15185
451,451,451,451,451,451,451,478130_4419430_3_191,N,38,478130,4419430,3,191,,medium,black and white,sand and organic,medium,rough,smoothed,,thick,wheelmade,small interior,brown medium-1,,large exterior,0,,,,,15991
452,452,452,452,452,452,452,478130_4419430_3_192,N,38,478130,4419430,3,192,,medium,white and grey,sand,medium,rough,rough,,thick,wheelmade,exterior,brown dark medium-1,,partial exterior,0,,,,,87498
453,453,453,453,453,453,453,478130_4419430_3_193,N,38,478130,4419430,3,193,,small,black and white,sand,medium,smoothed,rough,,medium,wheelmade,,grey fine,partial exterior,,0,,,,,15267
454,454,454,454,454,454,454,478130_4419430_3_194,N,38,478130,4419430,3,194,,medium,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,exterior,brown dark medium-1,,,1,,,,,83300
455,455,455,455,455,455,455,478130_4419430_3_195,N,38,478130,4419430,3,195,,medium,black and red,sand,medium,rough,smoothed,,thick,wheelmade,,brown medium-1,,large exterior,0,,,,,15989
456,456,456,456,456,456,456,478130_4419430_3_196,N,38,478130,4419430,3,196,,fine,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,,brown medium-1,,,0,,,,,15987
457,457,457,457,457,457,457,478130_4419430_3_197,N,38,478130,4419430,3,197,,coarse,black and gray,sand,medium,smoothed,striations,,thick,wheelmade,interior,black fine,small exterior,,0,,,,,12839
458,458,458,458,458,458,458,478130_4419430_3_198,N,38,478130,4419430,3,198,,medium,black,sand,medium,smoothed,rough,,medium,wheelmade,,grey medium-2,partial interior,,0,,,,,87470
459,459,459,459,459,459,459,478130_4419430_3_199,N,38,478130,4419430,3,199,,medium,black and white,sand,medium,rough,rough,,thick,wheelmade,exterior,grey medium-2,,partial interior,0,,,,,87472
460,460,460,460,460,460,460,478130_4419430_3_200,N,38,478130,4419430,3,200,,coarse,white and grey,sand,medium,slipped,smoothed,,thick,wheelmade,small exterior,reddish brown fine,,,0,,,,,87494
461,461,461,461,461,461,461,478130_4419430_3_201,N,38,478130,4419430,3,201,,medium,black and white,sand,medium,smoothed,striations,,thick,wheelmade,exterior,brown light medium-2,,,0,,,,,15886
462,462,462,462,462,462,462,478130_4419430_3_202,N,38,478130,4419430,3,202,,medium,grey,sand,medium,smoothed,,,medium,wheelmade,both sides,black medium,,,0,,,,,15149
463,463,463,463,463,463,463,478130_4419430_3_203,N,38,478130,4419430,3,203,,medium,black and gray,sand,medium,smoothed,rough,,medium,wheelmade,small interior,brown dark medium,,,0,,,,,87474
464,464,464,464,464,464,464,478130_4419430_3_204,N,38,478130,4419430,3,204,,coarse,black and white,sand,medium,smoothed,rough,,thick,wheelmade,,brown dark coarse-2,,large interior,0,,,,,15816
465,465,465,465,465,465,465,478130_4419430_3_205,N,38,478130,4419430,3,205,,medium,white,sand,medium,burnished,rough,,medium,wheelmade,interior,black medium,,,0,,,,,15707
466,466,466,466,466,466,466,478130_4419430_3_206,N,38,478130,4419430,3,206,,medium,black and white,sand,medium,striations,rough,,medium,wheelmade,exterior,brown medium-2,,large interior,0,,,,,15983
467,467,467,467,467,467,467,478130_4419430_3_207,N,38,478130,4419430,3,207,,coarse,black and white,sand,medium,smoothed,striations,,medium,wheelmade,exterior,brown light medium-2,small exterior,,0,,,,,15888
468,468,468,468,468,468,468,478130_4419430_3_208,N,38,478130,4419430,3,208,,small,black,sand,medium,slipped,smoothed,,thick,wheelmade,small interior,brown dark medium-3,,,0,,,,,14841
469,469,469,469,469,469,469,478130_4419430_3_209,N,38,478130,4419430,3,209,,medium,black and white,sand,medium,slipped,rough,,medium,wheelmade,interior,black medium,small interior,large interior,0,,,,,15120
470,470,470,470,470,470,470,478130_4419430_3_210,N,38,478130,4419430,3,210,,medium,black and white,sand,medium,striations,striations,,medium,wheelmade,,creamy fine,,,0,,,,,15663
471,471,471,471,471,471,471,478130_4419430_3_211,N,38,478130,4419430,3,211,,medium,orange and white,sand,low,rough,,,medium,wheelmade,both sides,black medium,,,1,,,,,14713
472,472,472,472,472,472,472,478130_4419430_3_212,N,38,478130,4419430,3,212,,coarse,"black, white and grey",sand,medium,striations,rough,,medium,wheelmade,exterior,brown dark medium-2,,large interior,0,,,,,14803
473,473,473,473,473,473,473,478130_4419430_3_213,N,38,478130,4419430,3,213,,coarse,black,sand,medium,smoothed,rough,,medium,wheelmade,,reddish brown medium,,,0,,,,,87492
474,474,474,474,474,474,474,478130_4419430_3_214,N,38,478130,4419430,3,214,,medium,black red and white,sand,medium,smoothed,rough,,medium,wheelmade,,orange medium,,partial interior and exterior,0,,,,,73645
475,475,475,475,475,475,475,478130_4419430_3_215,N,38,478130,4419430,3,215,,coarse,black and white,sand,medium,smoothed,,,medium,wheelmade,,brown light coarse-1,,,1,,,,,85939
476,476,476,476,476,476,476,478130_4419430_3_216,N,38,478130,4419430,3,216,,medium,white and grey,sand,medium,slipped and cracked,,,medium,wheelmade,,reddish brown coarse-2,,,0,,,,,85935
477,477,477,477,477,477,477,478130_4419430_3_217,N,38,478130,4419430,3,217,,medium,black and white,sand,medium,striations,,,thin,wheelmade,,reddish brown medium,partial interior,,0,,,,,85937
478,478,478,478,478,478,478,478130_4419430_3_218,N,38,478130,4419430,3,218,pithos body,medium,black,sand and organic,high,slipped,rough,,22mm,wheelmade,,orange medium,large interior,,1,105948.1484,204.8,,chunky pithos,17222
479,479,479,479,479,479,479,478130_4419430_3_219,N,38,478130,4419430,3,219,,medium,"black, white and red",sand and organic,medium,smoothed,rough,,thin,wheelmade,,reddish coarse,,,0,,,,,15492
480,480,480,480,480,480,480,478130_4419430_3_220,N,38,478130,4419430,3,220,,medium,black,sand,medium,smoothed,rough,impressed circles,thin,wheelmade,,reddish light medium-2,partial interior,,0,,,,,87123
481,481,481,481,481,481,481,478130_4419430_3_221,N,38,478130,4419430,3,221,,coarse,black and gray,sand,medium,rough,rough,,medium,wheelmade,,orange coarse,partial exterior,,0,,,,,87125
482,482,482,482,482,482,482,478130_4419430_3_222,N,38,478130,4419430,3,222,,medium,black and white,sand,medium,striations,rough,,medium,wheelmade,,reddish fine,partial exterior,,0,,,,,15508
483,483,483,483,483,483,483,478130_4419430_3_223,N,38,478130,4419430,3,223,pithos body,medium,black,sand,medium,smoothed,,,13mm,built,,grey dark medium,large,,0,196252.4844,371.6,high sr/sm,smooth pithos,73621
484,484,484,484,484,484,484,478130_4419430_3_224,N,38,478130,4419430,3,224,,medium,black,sand,medium,smoothed,smoothed,groove lines,medium,wheelmade,small exterior,brown dark fine,large,,0,,,,,15303
485,485,485,485,485,485,485,478130_4419430_3_225,N,38,478130,4419430,3,225,,small,black,sand,low,smoothed,,,medium,wheelmade,small exterior,grey dark fine,large interior,,0,,,,,12478
486,486,486,486,486,486,486,478130_4419430_3_226,N,38,478130,4419430,3,226,,small,black,sand,low,smoothed,rough,,medium,wheelmade,both sides,grey medium,small,large interior and exterior,0,,,,,15297
487,487,487,487,487,487,487,478130_4419430_3_227,N,38,478130,4419430,3,227,,small,black and white,sand,medium,rough,,,medium,wheelmade,both sides,creamy fine,small,partial exterior,0,,,,,15450
488,488,488,488,488,488,488,478130_4419430_3_228,N,38,478130,4419430,3,228,pithos body,medium,black,sand,medium,smoothed,,,13mm,wheelmade,interior,grey dark medium,partial exterior,,1,157398.2969,290.1,,smooth pithos,17250
